Date,Open,High,Low,Close,Volume
2024-04-05,150.27,151.66,149.31,150.0,55148268
2024-04-08,151.42,152.46,149.65,151.34,18556255
2024-04-09,151.56,153.27,149.85,150.96,53626563
2024-04-10,153.24,154.43,152.65,152.72,58786500
2024-04-11,156.59,157.62,156.1,156.91,49206376
2024-04-12,156.11,157.06,155.38,156.25,14327308
2024-04-15,155.77,156.2,155.1,155.59,54903073
2024-04-16,159.98,160.77,158.87,160.01,61913068
2024-04-17,162.6,163.35,161.4,162.22,61117909
2024-04-18,160.22,160.92,159.5,160.85,22633010
2024-04-19,162.57,163.5,161.73,162.42,63410690
2024-04-22,160.11,161.42,159.37,161.07,71482337
2024-04-23,159.6,159.78,159.47,159.72,50093087
2024-04-24,159.16,160.72,157.75,160.42,40596658
2024-04-25,154.7,156.02,154.04,154.89,99854713
2024-04-26,149.08,150.77,148.0,150.08,41981908
2024-04-29,148.94,149.46,148.33,148.56,96963179
2024-04-30,145.89,146.44,145.09,145.85,79953044
2024-05-01,147.31,147.83,146.11,146.68,88119050
2024-05-02,144.24,144.4,143.91,144.28,68315587
2024-05-03,140.87,141.46,140.14,140.61,25148530
2024-05-06,144.91,146.25,143.72,144.32,48620544
2024-05-07,143.79,144.36,143.08,143.74,87170267
2024-05-08,144.37,144.67,143.88,143.91,97979966
2024-05-09,138.87,140.86,137.82,140.22,70974359
2024-05-10,138.21,139.69,136.93,138.85,38105186
2024-05-13,140.22,141.13,138.64,139.12,15301358
2024-05-14,137.02,138.02,136.2,136.24,28283361
2024-05-15,137.13,137.22,137.03,137.16,96534282
2024-05-16,135.52,135.96,135.01,135.68,95079011
2024-05-17,134.64,135.94,133.86,134.97,14889084
2024-05-20,133.66,134.19,133.23,133.51,77980386
2024-05-21,137.71,139.79,136.12,137.96,32826747
2024-05-22,137.64,138.0,137.48,137.92,92632529
2024-05-23,135.22,136.61,134.6,135.3,67222357
2024-05-24,137.56,138.02,136.77,137.3,39538040
2024-05-27,133.31,134.33,132.59,134.28,58410263
2024-05-28,134.61,135.72,133.47,134.79,69322532
2024-05-29,129.32,130.43,128.51,130.03,61831782
2024-05-30,127.54,127.95,126.7,126.93,96490964
2024-05-31,126.98,127.96,126.31,127.38,45259675
2024-06-03,128.56,129.93,127.33,129.07,47829124
2024-06-04,130.06,130.64,128.99,129.47,39188752
2024-06-05,129.14,129.74,128.08,129.2,60571427
2024-06-06,129.03,129.98,128.46,128.5,12975605
2024-06-07,126.55,127.55,124.9,125.08,48653586
2024-06-10,123.39,124.24,122.58,123.46,41664126
