Date,Open,High,Low,Close,Volume
2024-04-05,340.61,343.76,338.44,340.0,55148268
2024-04-08,343.22,345.58,339.2,343.04,18556255
2024-04-09,343.53,347.41,339.65,342.19,53626563
2024-04-10,347.35,350.05,346.01,346.18,58786500
2024-04-11,354.94,357.27,353.82,355.67,49206376
2024-04-12,353.85,356.01,352.19,354.17,14327308
2024-04-15,353.09,354.05,351.56,352.67,54903073
2024-04-16,362.62,364.42,360.1,362.7,61913068
2024-04-17,368.56,370.25,365.84,367.71,61117909
2024-04-18,363.16,364.74,361.54,364.6,22633010
2024-04-19,368.5,370.61,366.59,368.16,63410690
2024-04-22,362.91,365.88,361.24,365.09,71482337
2024-04-23,361.77,362.18,361.46,362.03,50093087
2024-04-24,360.76,364.3,357.57,363.61,40596658
2024-04-25,350.65,353.63,349.15,351.09,99854713
2024-04-26,337.9,341.75,335.46,340.18,41981908
2024-04-29,337.59,338.78,336.21,336.74,96963179
2024-04-30,330.69,331.93,328.88,330.6,79953044
2024-05-01,333.9,335.07,331.19,332.47,88119050
2024-05-02,326.94,327.3,326.2,327.04,68315587
2024-05-03,319.31,320.64,317.64,318.72,25148530
2024-05-06,328.45,331.5,325.77,327.13,48620544
2024-05-07,325.92,327.22,324.31,325.8,87170267
2024-05-08,327.24,327.93,326.14,326.2,97979966
2024-05-09,314.78,319.29,312.39,317.83,70974359
2024-05-10,313.28,316.64,310.37,314.72,38105186
2024-05-13,317.84,319.9,314.25,315.35,15301358
2024-05-14,310.59,312.84,308.72,308.81,28283361
2024-05-15,310.83,311.02,310.6,310.9,96534282
2024-05-16,307.18,308.18,306.03,307.54,95079011
2024-05-17,305.19,308.14,303.42,305.93,14889084
2024-05-20,302.96,304.16,301.99,302.61,77980386
2024-05-21,312.14,316.86,308.53,312.7,32826747
2024-05-22,311.99,312.79,311.63,312.63,92632529
2024-05-23,306.5,309.65,305.09,306.68,67222357
2024-05-24,311.8,312.84,310.01,311.22,39538040
2024-05-27,302.16,304.49,300.54,304.38,58410263
2024-05-28,305.11,307.62,302.53,305.52,69322532
2024-05-29,293.12,295.65,291.29,294.74,61831782
2024-05-30,289.1,290.01,287.18,287.7,96490964
2024-05-31,287.81,290.05,286.3,288.72,45259675
2024-06-03,291.4,294.51,288.61,292.55,47829124
2024-06-04,294.8,296.11,292.38,293.46,39188752
2024-06-05,292.72,294.09,290.32,292.85,60571427
2024-06-06,292.46,294.62,291.17,291.26,12975605
2024-06-07,286.84,289.11,283.12,283.51,48653586
2024-06-10,279.67,281.62,277.86,279.83,41664126
2024-06-11,277.41,278.8,276.07,277.51,23763700
2024-06-12,280.65,283.25,279.23,282.79,33066465
2024-06-13,282.58,285.39,281.18,284.54,24573834
2024-06-14,275.06,276.85,272.47,275.51,51707317
2024-06-17,276.52,277.31,275.73,277.12,19176748
2024-06-18,274.91,275.54,274.33,275.2,38911861
2024-06-19,272.91,274.39,270.77,271.85,34276628
2024-06-20,274.95,275.4,274.27,274.84,49770506
2024-06-21,279.43,280.7,278.71,279.94,87620710
2024-06-24,284.45,285.57,283.1,284.63,65665616
2024-06-25,280.68,281.43,280.28,280.33,18978989
2024-06-26,278.31,279.74,276.16,278.77,23792249
2024-06-27,280.4,281.32,279.22,280.44,38098059
2024-06-28,285.75,286.32,284.51,285.36,13683909
2024-07-01,281.94,283.55,281.15,282.9,59873778
2024-07-02,279.11,286.63,275.53,281.95,65415449
2024-07-03,275.64,278.26,273.8,276.34,62559151
2024-07-04,268.43,271.09,266.63,270.39,72953195
2024-07-05,274.92,276.98,273.55,274.34,29847987
2024-07-08,280.8,281.96,278.52,281.04,95029727
2024-07-09,280.76,285.25,277.77,280.68,11416953
2024-07-10,285.12,288.05,283.09,285.75,29471461
2024-07-11,289.78,291.91,286.53,287.61,77530144
2024-07-12,284.24,285.07,283.48,284.27,10909245
2024-07-15,286.1,286.16,286.01,286.12,60672855
2024-07-16,294.57,297.98,292.91,294.04,25993238
2024-07-17,294.14,294.62,293.67,293.85,59566094
2024-07-18,300.16,302.65,299.02,302.12,61562394
2024-07-19,286.95,289.79,285.58,287.88,58427722
2024-07-22,295.17,297.3,290.98,292.13,63621439
2024-07-23,290.44,293.14,288.95,292.59,89534578
2024-07-24,291.45,292.81,290.02,291.02,73475441
2024-07-25,291.23,294.95,288.0,291.5,39920720
2024-07-26,281.13,283.64,279.16,281.07,93548084
2024-07-29,280.19,280.72,279.18,279.96,61493837
2024-07-30,281.5,282.69,280.97,281.76,89367898
2024-07-31,289.76,290.72,288.51,289.25,15730385
2024-08-01,288.62,291.76,281.79,286.55,35580123
2024-08-02,282.19,282.8,281.52,282.38,74505778
2024-08-05,279.9,280.39,278.87,279.83,45935918
2024-08-06,283.19,285.49,282.1,284.45,72396414
2024-08-07,286.75,288.07,285.58,286.13,57368963
2024-08-08,283.81,285.28,282.81,283.4,89659372
2024-08-09,287.0,287.98,285.57,286.02,43214626
2024-08-12,286.58,286.68,286.35,286.52,65725103
2024-08-13,291.91,292.63,291.43,291.51,76633032
2024-08-14,287.71,288.93,286.15,287.83,53860083
2024-08-15,286.35,286.9,286.01,286.13,23605804
2024-08-16,284.56,286.47,282.45,284.11,17085904
2024-08-19,277.08,277.76,276.45,276.63,75276240
2024-08-20,278.46,278.7,277.93,278.1,23824880
2024-08-21,278.56,281.6,274.94,279.41,83808608
2024-08-22,278.72,280.43,277.39,279.44,87696863
2024-08-23,278.04,279.1,277.48,278.26,46355877
2024-08-26,270.37,272.81,269.0,271.17,35974082
2024-08-27,266.08,271.1,262.88,269.11,56467514
2024-08-28,265.52,269.31,262.98,267.45,54807180
2024-08-29,265.32,266.45,263.3,263.59,21953070
2024-08-30,262.17,263.69,260.5,262.83,16839789
2024-09-02,265.68,268.71,262.53,264.74,18570556
2024-09-03,273.43,275.42,272.38,273.73,96468894
2024-09-04,275.52,277.32,272.27,274.59,75626102
2024-09-05,277.61,279.78,274.48,275.86,92102991
2024-09-06,273.73,278.79,271.27,275.49,64101105
