Date,Open,High,Low,Close,Volume
2024-03-08,165.56,166.37,163.77,166.0,82575868
2024-03-11,164.46,165.64,163.64,165.25,54079275
2024-03-12,164.87,165.77,163.53,164.32,63486356
2024-03-13,162.03,163.71,159.48,162.91,124705080
2024-03-14,158.98,160.21,158.25,159.61,138311297
2024-03-15,156.81,157.34,156.11,157.21,53160657
2024-03-18,160.69,161.9,159.55,160.51,63952563
2024-03-19,160.43,161.01,160.16,160.26,73297143
2024-03-20,158.64,160.72,157.2,157.71,68234146
2024-03-21,155.51,156.07,154.78,155.55,20106809
2024-03-22,155.56,156.54,153.3,154.81,100522354
2024-03-25,153.36,154.05,153.03,153.24,141600957
2024-03-26,156.98,159.1,155.77,157.8,106577480
2024-03-27,159.15,159.8,158.08,159.26,143750797
2024-03-28,154.69,155.09,153.84,154.75,13450488
2024-03-29,152.95,153.65,151.53,153.11,101968614
2024-04-01,149.43,150.48,148.36,149.67,100846095
2024-04-02,149.02,149.74,148.26,148.37,37433884
2024-04-03,148.16,148.71,147.59,147.97,79642412
2024-04-04,150.35,151.18,149.1,149.43,133835544
2024-04-05,150.59,153.98,148.16,151.02,27645397
2024-04-08,147.89,149.18,145.4,147.39,50360311
2024-04-09,145.41,145.93,144.57,145.87,50359654
2024-04-10,143.71,144.03,143.12,143.72,87642398
2024-04-11,142.85,143.11,142.7,143.0,117319014
2024-04-12,147.64,149.35,146.89,148.01,111739154
2024-04-15,149.61,150.15,149.3,149.44,104435210
2024-04-16,152.75,153.99,150.28,150.77,20955071
2024-04-17,152.01,153.7,150.13,153.26,19525065
2024-04-18,155.78,156.71,154.85,155.7,48797157
2024-04-19,166.15,167.6,164.23,165.28,105910172
2024-04-22,165.42,165.89,164.35,164.77,143169995
2024-04-23,164.69,165.18,163.79,165.14,108211800
2024-04-24,168.27,169.67,167.06,168.51,37772491
2024-04-25,161.34,162.78,160.16,162.46,49650553
2024-04-26,158.15,158.97,157.74,158.12,138535847
2024-04-29,156.23,156.71,155.47,155.59,38224159
2024-04-30,158.78,159.5,158.47,158.57,61785723
2024-05-01,162.26,163.56,159.98,161.46,104173695
2024-05-02,161.47,161.89,160.99,161.09,33496448
2024-05-03,157.72,159.26,157.0,157.26,99960315
2024-05-06,157.43,159.53,155.58,157.85,74307447
2024-05-07,156.83,157.96,155.18,156.75,70152775
2024-05-08,160.79,161.95,159.53,159.93,54099421
2024-05-09,165.77,167.15,165.14,166.33,112694694
2024-05-10,164.46,164.56,164.39,164.53,127115354
2024-05-13,165.62,167.49,164.5,166.22,24775223
2024-05-14,166.4,167.82,165.71,167.55,121137982
2024-05-15,164.2,165.24,163.69,163.77,17586230
2024-05-16,165.37,166.17,163.83,164.97,109663476
2024-05-17,163.66,164.45,162.5,163.09,122779168
2024-05-20,167.41,168.6,166.55,167.49,87889940
2024-05-21,171.74,172.58,170.16,171.3,32978529
2024-05-22,172.8,174.46,171.75,173.64,80597113
2024-05-23,171.63,172.33,170.22,170.26,133738195
2024-05-24,167.72,168.27,167.09,167.88,52142249
2024-05-27,171.82,172.15,171.42,171.59,51490900
2024-05-28,169.03,169.34,168.75,169.3,54706067
2024-05-29,175.88,176.38,175.26,175.61,45282472
2024-05-30,171.29,172.42,170.13,171.49,61068512
2024-05-31,174.7,175.91,173.93,174.05,74286801
2024-06-03,173.54,174.32,171.73,172.61,41976517
2024-06-04,172.99,173.61,171.81,172.47,89929846
2024-06-05,178.0,180.0,177.02,177.98,131279586
2024-06-06,176.22,177.58,175.36,176.69,32954152
2024-06-07,178.83,179.13,178.64,178.76,88543990
2024-06-10,181.96,183.99,178.94,182.8,76944536
2024-06-11,185.75,186.15,185.04,185.5,55396128
2024-06-12,187.89,188.79,186.21,187.43,113513643
2024-06-13,192.48,193.71,190.9,191.75,77218598
2024-06-14,188.53,189.92,187.66,187.73,110622249
2024-06-17,183.9,186.9,182.5,183.05,80895574
2024-06-18,180.12,182.48,178.8,180.54,70646649
2024-06-19,184.79,186.53,183.37,184.34,74391646
2024-06-20,183.9,185.44,182.19,184.8,126196756
2024-06-21,180.39,181.19,179.11,180.7,121093629
2024-06-24,183.05,184.09,182.0,183.46,92034087
2024-06-25,188.9,189.94,188.09,189.9,117000109
2024-06-26,190.1,191.06,187.9,188.52,31906734
2024-06-27,193.37,193.9,193.13,193.23,13245468
2024-06-28,196.28,197.43,194.26,195.26,145086969
2024-07-01,190.2,191.38,189.18,190.77,135238283
2024-07-02,186.53,187.17,185.74,186.72,65486877
2024-07-03,181.61,182.0,180.87,181.32,26403391
2024-07-04,184.64,185.77,182.12,183.28,76475096
2024-07-05,181.82,183.28,181.03,183.27,54512029
2024-07-08,187.66,188.17,187.0,187.83,128884674
2024-07-09,184.99,185.81,184.32,185.43,54725325
2024-07-10,189.03,189.87,187.54,188.57,134609976
2024-07-11,186.09,187.03,184.77,185.79,129144855
2024-07-12,185.57,186.97,183.64,185.21,37976036
2024-07-15,190.22,190.72,189.44,190.16,132378591
2024-07-16,189.81,191.19,187.33,188.48,13969945
2024-07-17,194.64,195.74,192.28,193.39,38076898
2024-07-18,192.33,193.0,191.78,193.0,16934267
2024-07-19,192.26,193.65,191.56,193.24,47314741
2024-07-22,194.06,196.18,191.11,193.29,124789976
2024-07-23,194.09,196.58,191.36,193.42,92826815
2024-07-24,191.75,192.23,191.39,191.53,145204384
2024-07-25,185.7,186.66,184.52,185.09,131585983
2024-07-26,183.93,184.56,183.54,184.46,68030863
2024-07-29,181.89,184.12,180.72,183.97,102810784
2024-07-30,183.45,184.79,182.54,183.99,27728331
2024-07-31,183.74,184.08,183.26,183.76,67554989
2024-08-01,177.3,180.39,175.55,178.19,123652454
2024-08-02,181.54,183.53,180.33,181.21,19319786
2024-08-05,178.55,179.95,175.87,178.25,63342283
2024-08-06,177.65,178.43,177.18,178.04,6128874
2024-08-07,180.39,181.77,178.62,179.82,59046501
2024-08-08,182.98,184.05,181.2,182.83,10878672
2024-08-09,181.92,182.96,180.11,180.59,103641597
2024-08-12,180.75,181.71,178.53,179.99,44909741
2024-08-13,176.6,178.43,175.25,177.61,10190818
2024-08-14,178.19,178.89,177.24,178.56,91378792
2024-08-15,177.17,177.44,176.61,176.73,39966421
2024-08-16,181.9,183.22,181.15,182.98,88390730
2024-08-19,180.38,181.85,179.21,181.01,132830418
2024-08-20,187.5,188.44,185.46,186.41,23271975
2024-08-21,186.64,186.76,186.38,186.51,114725119
2024-08-22,188.2,189.11,186.66,188.93,93408549
2024-08-23,190.92,191.48,190.56,191.34,114887438
2024-08-26,194.66,196.26,191.97,194.26,55883870
2024-08-27,187.07,188.33,185.63,187.11,70089715
2024-08-28,191.9,193.82,189.91,191.35,32447018
2024-08-29,187.08,187.39,186.89,187.11,74634963
2024-08-30,189.1,190.71,187.26,187.97,51789682
2024-09-02,187.83,190.5,186.22,188.88,66631444
2024-09-03,191.0,192.32,189.84,190.91,149818522
2024-09-04,186.73,188.18,185.4,186.84,52804182
2024-09-05,188.1,189.49,186.46,187.81,127706541
2024-09-06,187.48,189.35,186.44,187.31,72725872
2024-09-09,189.09,189.31,188.73,189.13,30404149
2024-09-10,181.91,182.8,181.39,181.72,65421123
2024-09-11,180.67,182.14,179.35,180.43,43453830
2024-09-12,183.18,184.8,179.99,182.63,132490766
2024-09-13,187.57,188.08,186.54,186.98,132296051
2024-09-16,185.48,186.21,184.4,185.69,66831058
2024-09-17,183.35,184.1,182.28,182.31,5149677
2024-09-18,180.02,180.85,179.52,180.13,64123976
2024-09-19,182.19,183.31,180.7,182.05,50394363
2024-09-20,185.01,186.39,182.49,183.41,81263252
2024-09-23,183.57,184.95,182.86,184.4,86800229
2024-09-24,184.31,186.87,180.74,184.57,63563263
