Date,Open,High,Low,Close,Volume
2024-04-05,220.4,222.43,218.99,220.0,55148268
2024-04-08,222.08,223.61,219.48,221.97,18556255
2024-04-09,222.28,224.8,219.78,221.41,53626563
2024-04-10,224.75,226.5,223.89,224.0,58786500
2024-04-11,229.67,231.17,228.95,230.14,49206376
2024-04-12,228.96,230.36,227.89,229.17,14327308
2024-04-15,228.47,229.09,227.48,228.2,54903073
2024-04-16,234.64,235.8,233.01,234.69,61913068
2024-04-17,238.48,239.57,236.72,237.93,61117909
2024-04-18,234.99,236.01,233.94,235.92,22633010
2024-04-19,238.44,239.81,237.2,238.22,63410690
2024-04-22,234.82,236.75,233.75,236.24,71482337
2024-04-23,234.09,234.35,233.89,234.26,50093087
2024-04-24,233.43,235.73,231.37,235.28,40596658
2024-04-25,226.89,228.82,225.92,227.17,99854713
2024-04-26,218.64,221.14,217.06,220.12,41981908
2024-04-29,218.44,219.21,217.55,217.89,96963179
2024-04-30,213.98,214.78,212.8,213.92,79953044
2024-05-01,216.06,216.81,214.3,215.13,88119050
2024-05-02,211.55,211.78,211.07,211.61,68315587
2024-05-03,206.61,207.47,205.53,206.23,25148530
2024-05-06,212.53,214.5,210.79,211.67,48620544
2024-05-07,210.89,211.73,209.85,210.81,87170267
2024-05-08,211.74,212.19,211.03,211.07,97979966
2024-05-09,203.68,206.6,202.13,205.66,70974359
2024-05-10,202.71,204.89,200.83,203.64,38105186
2024-05-13,205.66,207.0,203.34,204.05,15301358
2024-05-14,200.97,202.42,199.76,199.82,28283361
2024-05-15,201.12,201.25,200.98,201.17,96534282
2024-05-16,198.76,199.41,198.02,199.0,95079011
2024-05-17,197.47,199.39,196.33,197.95,14889084
2024-05-20,196.03,196.81,195.41,195.81,77980386
2024-05-21,201.97,205.03,199.64,202.34,32826747
2024-05-22,201.88,202.4,201.64,202.29,92632529
2024-05-23,198.32,200.36,197.41,198.44,67222357
2024-05-24,201.75,202.43,200.6,201.37,39538040
2024-05-27,195.52,197.02,194.47,196.95,58410263
2024-05-28,197.43,199.05,195.75,197.69,69322532
2024-05-29,189.67,191.3,188.48,190.72,61831782
2024-05-30,187.06,187.66,185.82,186.16,96490964
2024-05-31,186.23,187.68,185.25,186.82,45259675
2024-06-03,188.55,190.57,186.75,189.3,47829124
2024-06-04,190.75,191.6,189.19,189.88,39188752
2024-06-05,189.41,190.29,187.85,189.49,60571427
2024-06-06,189.24,190.64,188.4,188.46,12975605
2024-06-07,185.6,187.07,183.19,183.45,48653586
2024-06-10,180.97,182.22,179.79,181.07,41664126
2024-06-11,179.5,180.4,178.63,179.57,23763700
2024-06-12,181.6,183.28,180.68,182.98,33066465
2024-06-13,182.85,184.66,181.94,184.12,24573834
2024-06-14,177.98,179.14,176.31,178.27,51707317
2024-06-17,178.93,179.44,178.42,179.31,19176748
2024-06-18,177.88,178.29,177.51,178.07,38911861
2024-06-19,176.59,177.54,175.21,175.9,34276628
2024-06-20,177.91,178.2,177.47,177.84,49770506
2024-06-21,180.81,181.63,180.34,181.14,87620710
2024-06-24,184.05,184.78,183.18,184.17,65665616
