Date,Open,High,Low,Close,Volume
2024-04-05,72.13,72.8,71.67,72.0,55148268
2024-04-08,72.68,73.18,71.83,72.64,18556255
2024-04-09,72.75,73.57,71.93,72.46,53626563
2024-04-10,73.56,74.13,73.27,73.31,58786500
2024-04-11,75.16,75.66,74.93,75.32,49206376
2024-04-12,74.93,75.39,74.58,75.0,14327308
2024-04-15,74.77,74.97,74.45,74.68,54903073
2024-04-16,76.79,77.17,76.26,76.81,61913068
2024-04-17,78.05,78.41,77.47,77.87,61117909
2024-04-18,76.91,77.24,76.56,77.21,22633010
2024-04-19,78.04,78.48,77.63,77.96,63410690
2024-04-22,76.85,77.48,76.5,77.31,71482337
2024-04-23,76.61,76.7,76.54,76.67,50093087
2024-04-24,76.4,77.15,75.72,77.0,40596658
2024-04-25,74.26,74.89,73.94,74.35,99854713
2024-04-26,71.56,72.37,71.04,72.04,41981908
2024-04-29,71.49,71.74,71.2,71.31,96963179
2024-04-30,70.03,70.29,69.65,70.01,79953044
2024-05-01,70.71,70.96,70.13,70.41,88119050
2024-05-02,69.23,69.31,69.08,69.26,68315587
2024-05-03,67.62,67.9,67.27,67.49,25148530
2024-05-06,69.55,70.2,68.99,69.28,48620544
2024-05-07,69.02,69.29,68.68,68.99,87170267
2024-05-08,69.3,69.44,69.06,69.08,97979966
2024-05-09,66.66,67.61,66.15,67.31,70974359
2024-05-10,66.34,67.05,65.73,66.65,38105186
2024-05-13,67.31,67.74,66.55,66.78,15301358
2024-05-14,65.77,66.25,65.38,65.4,28283361
2024-05-15,65.82,65.86,65.78,65.84,96534282
2024-05-16,65.05,65.26,64.81,65.13,95079011
2024-05-17,64.63,65.25,64.25,64.78,14889084
2024-05-20,64.16,64.41,63.95,64.08,77980386
2024-05-21,66.1,67.1,65.34,66.22,32826747
2024-05-22,66.07,66.24,65.99,66.2,92632529
2024-05-23,64.91,65.57,64.61,64.94,67222357
2024-05-24,66.03,66.25,65.65,65.9,39538040
2024-05-27,63.99,64.48,63.64,64.46,58410263
2024-05-28,64.61,65.14,64.06,64.7,69322532
2024-05-29,62.07,62.61,61.69,62.42,61831782
2024-05-30,61.22,61.41,60.81,60.92,96490964
2024-05-31,60.95,61.42,60.63,61.14,45259675
2024-06-03,61.71,62.37,61.12,61.95,47829124
2024-06-04,62.43,62.71,61.92,62.14,39188752
2024-06-05,61.99,62.28,61.48,62.01,60571427
2024-06-06,61.93,62.39,61.66,61.68,12975605
2024-06-07,60.74,61.22,59.95,60.04,48653586
2024-06-10,59.23,59.64,58.84,59.26,41664126
2024-06-11,58.75,59.04,58.46,58.77,23763700
2024-06-12,59.43,59.98,59.13,59.89,33066465
2024-06-13,59.84,60.44,59.54,60.26,24573834
2024-06-14,58.25,58.63,57.7,58.34,51707317
2024-06-17,58.56,58.73,58.39,58.68,19176748
2024-06-18,58.22,58.35,58.09,58.28,38911861
2024-06-19,57.79,58.11,57.34,57.57,34276628
2024-06-20,58.23,58.32,58.08,58.2,49770506
2024-06-21,59.17,59.44,59.02,59.28,87620710
2024-06-24,60.24,60.47,59.95,60.28,65665616
2024-06-25,59.44,59.6,59.35,59.36,18978989
2024-06-26,58.94,59.24,58.48,59.03,23792249
2024-06-27,59.38,59.57,59.13,59.39,38098059
2024-06-28,60.51,60.63,60.25,60.43,13683909
2024-07-01,59.7,60.05,59.54,59.91,59873778
2024-07-02,59.11,60.7,58.35,59.71,65415449
2024-07-03,58.37,58.93,57.98,58.52,62559151
2024-07-04,56.84,57.41,56.46,57.26,72953195
2024-07-05,58.22,58.65,57.93,58.1,29847987
2024-07-08,59.46,59.71,58.98,59.51,95029727
2024-07-09,59.46,60.41,58.82,59.44,11416953
2024-07-10,60.38,61.0,59.95,60.51,29471461
2024-07-11,61.36,61.82,60.68,60.9,77530144
2024-07-12,60.19,60.37,60.03,60.2,10909245
2024-07-15,60.59,60.6,60.57,60.59,60672855
2024-07-16,62.38,63.1,62.03,62.27,25993238
2024-07-17,62.29,62.39,62.19,62.23,59566094
2024-07-18,63.56,64.09,63.32,63.98,61562394
2024-07-19,60.77,61.37,60.48,60.96,58427722
2024-07-22,62.51,62.96,61.62,61.86,63621439
2024-07-23,61.51,62.08,61.19,61.96,89534578
2024-07-24,61.72,62.01,61.42,61.63,73475441
2024-07-25,61.67,62.46,60.99,61.73,39920720
2024-07-26,59.53,60.07,59.12,59.52,93548084
2024-07-29,59.34,59.45,59.12,59.29,61493837
2024-07-30,59.61,59.86,59.5,59.67,89367898
2024-07-31,61.36,61.56,61.1,61.25,15730385
2024-08-01,61.12,61.78,59.67,60.68,35580123
2024-08-02,59.76,59.89,59.62,59.8,74505778
2024-08-05,59.27,59.38,59.06,59.26,45935918
2024-08-06,59.97,60.46,59.74,60.24,72396414
2024-08-07,60.72,61.0,60.48,60.59,57368963
2024-08-08,60.1,60.41,59.89,60.01,89659372
2024-08-09,60.78,60.98,60.47,60.57,43214626
2024-08-12,60.69,60.71,60.64,60.67,65725103
2024-08-13,61.82,61.97,61.71,61.73,76633032
2024-08-14,60.93,61.19,60.6,60.95,53860083
2024-08-15,60.64,60.75,60.57,60.59,23605804
2024-08-16,60.26,60.66,59.81,60.17,17085904
2024-08-19,58.68,58.82,58.54,58.58,75276240
2024-08-20,58.97,59.02,58.86,58.89,23824880
2024-08-21,58.99,59.63,58.22,59.17,83808608
2024-08-22,59.02,59.38,58.74,59.17,87696863
2024-08-23,58.88,59.1,58.76,58.92,46355877
2024-08-26,57.26,57.77,56.96,57.42,35974082
